id,title,city,price_inr,bhk,area_sqft,description
1,Skyline Heights Penthouse,Mumbai,28500000,4,2400,"A stunning modern penthouse in Bandra West featuring floor-to-ceiling windows and an expansive wraparound balcony with panoramic sea views. The open-plan living area flows seamlessly onto a large private terrace perfect for entertaining. Contemporary Italian marble flooring, a fully modular kitchen, and smart home automation throughout. The master suite includes a walk-in closet and spa-style bathroom. Building amenities include a rooftop infinity pool, private elevator access, and 24/7 concierge."
2,Green Meadows Villa,Pune,15200000,3,2100,"An elegant independent villa nestled in a gated community in Baner, surrounded by landscaped gardens. This modern home boasts a spacious wraparound balcony overlooking a private lawn, ideal for morning coffee or evening gatherings. Interiors feature large glass sliding doors that flood the living room with natural light, an island kitchen, and premium wooden flooring. The community offers a clubhouse, jogging track, and children's play area."
3,Riverside Residency 2BHK,Ahmedabad,6800000,2,1150,"A cozy yet contemporary apartment along the Sabarmati riverfront with a compact balcony offering peaceful river views. Freshly renovated with modern fittings, false ceiling lighting, and a modular kitchen. Close to schools, hospitals, and the riverfront promenade, making it ideal for young families."
4,Urban Nest Studio,Bengaluru,4200000,1,650,"A sleek studio apartment in Indiranagar designed for young professionals, with a small private balcony and minimalist modern interiors. Features include a compact modular kitchen, built-in wardrobes, and large windows for natural ventilation. Walking distance to metro station, cafes, and coworking spaces."
5,Palm Grove Apartments 3BHK,Chennai,9500000,3,1650,"A bright and airy 3BHK apartment in OMR with a large L-shaped balcony perfect for container gardening or outdoor seating. Modern design elements include vitrified tiling, a modular kitchen with granite countertops, and ample cross-ventilation. Located near IT parks and international schools, with gated security and covered parking."
6,Lakeview Modern Duplex,Hyderabad,18700000,4,2800,"A contemporary duplex overlooking Hussain Sagar lake, featuring a massive wraparound balcony on both levels with unobstructed lake views. The interiors showcase minimalist modern architecture with double-height ceilings in the living room, a designer staircase, and floor-to-ceiling glass panels. Includes a home theatre room, private terrace garden, and dedicated staff quarters."
7,Sunrise Enclave 2BHK,Pune,7200000,2,1080,"A well-ventilated modern 2BHK in Wakad with a spacious balcony ideal for relaxing evenings. The home features contemporary interiors with wooden laminate flooring, a modular kitchen, and large windows. The society offers a swimming pool, gymnasium, and landscaped garden, close to IT hubs and shopping malls."
8,Coastal Breeze Apartment,Goa,12500000,3,1450,"A charming modern apartment just minutes from Candolim beach, with a generous balcony that captures cool coastal breezes and greenery views. Interiors blend contemporary design with Goan-Portuguese accents, featuring an open kitchen, exposed wooden beams, and terracotta flooring. Ideal as a vacation home or rental investment property."
9,Metro Heights 1BHK,Delhi,6500000,1,580,"A compact and stylish 1BHK apartment near Dwarka metro station, featuring a small balcony with city views. Modern interiors include a modular kitchen, laminate flooring, and efficient space utilization for urban living. Close to shopping centers, schools, and major road connectivity."
10,Whispering Pines Bungalow,Dehradun,22000000,5,3500,"A luxurious modern bungalow set amid pine forests on the outskirts of Dehradun, with multiple large balconies and terraces offering mountain views from every room. Features include floor-to-ceiling glass walls, a rustic-modern interior design blending wood and stone, a private garden, and an outdoor fireplace. Perfect for those seeking a peaceful retreat with contemporary comforts."
11,Central Park Residences 3BHK,Bengaluru,13800000,3,1850,"A modern 3BHK apartment near Central Park area with an oversized balcony that wraps around the living and dining area, ideal for large gatherings. Premium finishes include Italian marble flooring, a chef's modular kitchen, and floor-to-ceiling windows. The complex offers a rooftop clubhouse, infinity pool, and dedicated kids' zone."
12,Old Town Heritage Flat,Jaipur,5400000,2,1000,"A characterful 2BHK apartment in the walled city area, recently renovated with modern fixtures while retaining traditional jharokha-style window balconies. Features include vitrified flooring, a modern modular kitchen, and close proximity to heritage markets and forts."
13,Tech Park Towers 2BHK,Noida,7800000,2,1200,"A contemporary 2BHK in a high-rise tower near the Noida tech corridor, featuring a mid-sized balcony with skyline views. Interiors include laminate wood flooring, a modular kitchen, and ample storage. Amenities include a gym, swimming pool, and 24/7 security, close to major IT companies."
14,Emerald Bay Villa,Kochi,16500000,4,2600,"A modern waterfront villa along the backwaters of Kochi, with a large wraparound balcony and private deck offering stunning water views. The design features open-plan living spaces, large glass windows, a modern kitchen with breakfast counter, and a private boat jetty. Ideal for those who enjoy serene waterside living with contemporary architecture."
15,Sunset Grove 3BHK,Chandigarh,10200000,3,1700,"A spacious and modern 3BHK apartment in Sector 21 with a generous balcony overlooking a landscaped garden. The home features an open-plan kitchen, large windows for natural light, and contemporary flooring throughout. Close to markets, schools, and well-connected to the city center."
16,Hilltop Retreat Cottage,Shimla,11800000,2,1200,"A charming modern cottage nestled on a hillside with panoramic Himalayan views from its expansive wraparound balcony. Interiors combine rustic wood finishes with modern comforts including central heating, a compact modern kitchen, and large picture windows. Perfect as a weekend getaway home."
17,Business Bay Loft,Mumbai,19500000,2,1350,"A stylish modern loft apartment in Lower Parel with double-height ceilings and a striking balcony offering city skyline views. Industrial-chic interiors feature exposed concrete accents, a sleek modular kitchen, and designer lighting. Located in the heart of the business district, ideal for professionals."
18,Garden City Apartment 2BHK,Bengaluru,8500000,2,1150,"A modern 2BHK apartment in Whitefield with a well-sized balcony surrounded by greenery. The home includes contemporary interiors, a modular kitchen, and ample natural light. The gated community features a swimming pool, gym, and landscaped gardens, close to IT parks."
19,Riviera Heights Penthouse,Chennai,26000000,4,2900,"A luxurious modern penthouse in ECR with a sprawling rooftop balcony and private plunge pool offering sea views. Premium interiors include Italian marble flooring, a designer modular kitchen, and floor-to-ceiling glass doors opening onto the terrace. Building amenities include a private elevator, gym, and 24/7 concierge service."
20,Valley View Apartment 1BHK,Manali,4800000,1,600,"A cozy modern 1BHK apartment with a small balcony offering stunning valley and mountain views. Simple, contemporary interiors with wooden flooring, a compact modern kitchen, and large windows to enjoy the scenery. Ideal as a holiday home or rental property for tourists."
